No.,Name,Term,Party,link
,George Washington(1732–1799)[19],"April 30, 1789–March 4, 1797",Unaffiliated,https://en.wikipedia.org/wiki/George_Washington
,John Adams(1735–1826)[21],"March 4, 1797–March 4, 1801",Federalist,https://en.wikipedia.org/wiki/John_Adams
,Thomas Jefferson(1743–1826)[23],"March 4, 1801–March 4, 1809",Democratic-Republican,https://en.wikipedia.org/wiki/Thomas_Jefferson
,James Madison(1751–1836)[24],"March 4, 1809–March 4, 1817",Democratic-Republican,https://en.wikipedia.org/wiki/James_Madison
,James Monroe(1758–1831)[26],"March 4, 1817–March 4, 1825",Democratic-Republican,https://en.wikipedia.org/wiki/James_Monroe
,John Quincy Adams(1767–1848)[27],"March 4, 1825–March 4, 1829",Democratic-Republican[f]National Republican,https://en.wikipedia.org/wiki/John_Quincy_Adams
,Andrew Jackson(1767–1845)[30],"March 4, 1829–March 4, 1837",Democratic,https://en.wikipedia.org/wiki/Andrew_Jackson
,Martin Van Buren(1782–1862)[31],"March 4, 1837–March 4, 1841",Democratic,https://en.wikipedia.org/wiki/Martin_Van_Buren
,William Henry Harrison(1773–1841)[32],"March 4, 1841–April 4, 1841[e]",Whig,https://en.wikipedia.org/wiki/William_Henry_Harrison
,John Tyler(1790–1862)[33],"April 4, 1841[i]–March 4, 1845",Whig[j]Unaffiliated,https://en.wikipedia.org/wiki/John_Tyler
,James K. Polk(1795–1849)[36],"March 4, 1845–March 4, 1849",Democratic,https://en.wikipedia.org/wiki/James_K._Polk
,Zachary Taylor(1784–1850)[37],"March 4, 1849–July 9, 1850[e]",Whig,https://en.wikipedia.org/wiki/Zachary_Taylor
,Millard Fillmore(1800–1874)[38],"July 9, 1850[k]–March 4, 1853",Whig,https://en.wikipedia.org/wiki/Millard_Fillmore
,Franklin Pierce(1804–1869)[40],"March 4, 1853–March 4, 1857",Democratic,https://en.wikipedia.org/wiki/Franklin_Pierce
,James Buchanan(1791–1868)[41],"March 4, 1857–March 4, 1861",Democratic,https://en.wikipedia.org/wiki/James_Buchanan
,Abraham Lincoln(1809–1865)[42],"March 4, 1861–April 15, 1865[e]",RepublicanNational Union[l],https://en.wikipedia.org/wiki/Abraham_Lincoln
,Andrew Johnson(1808–1875)[44],"April 15, 1865[m]–March 4, 1869",National Union[n]Democratic,https://en.wikipedia.org/wiki/Andrew_Johnson
,Ulysses S. Grant(1822–1885)[45],"March 4, 1869–March 4, 1877",Republican,https://en.wikipedia.org/wiki/Ulysses_S._Grant
,Rutherford B. Hayes(1822–1893)[46],"March 4, 1877–March 4, 1881",Republican,https://en.wikipedia.org/wiki/Rutherford_B._Hayes
,James A. Garfield(1831–1881)[47],"March 4, 1881–September 19, 1881[e]",Republican,https://en.wikipedia.org/wiki/James_A._Garfield
,Chester A. Arthur(1829–1886)[48],"September 19, 1881[o]–March 4, 1885",Republican,https://en.wikipedia.org/wiki/Chester_A._Arthur
,Grover Cleveland(1837–1908)[50],"March 4, 1885–March 4, 1889",Democratic,https://en.wikipedia.org/wiki/Grover_Cleveland
,Benjamin Harrison(1833–1901)[51],"March 4, 1889–March 4, 1893",Republican,https://en.wikipedia.org/wiki/Benjamin_Harrison
,Grover Cleveland(1837–1908)[50],"March 4, 1893–March 4, 1897",Democratic,https://en.wikipedia.org/wiki/Grover_Cleveland
,William McKinley(1843–1901)[52],"March 4, 1897–September 14, 1901[e]",Republican,https://en.wikipedia.org/wiki/William_McKinley
